StudyID	SiteID	GeographicalLatitude	GeographicalLongitude	AverageCoordinates	Hemisphere	Realm	GeographicalTerritory	GeographicalTerritory2	Habitat	HabitatSpecification	Ecosystem	StudyContext	BiologicalOrganisation	SpeciesType	SamplingMethodology									
StudyID_15	SiteID_90	40.299	-3.512	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_91	40.299	-3.515	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_92	40.296	-3.516	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_93	40.295	-3.519	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_94	40.303	-3.5	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_95	40.294	-3.523	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_15	SiteID_96	40.304	-3.503	No	North	Palearctic	Europe	Spain	Freshwater	Lentic	Lake	(gravel	pit	lake)	Seasonality	Foodweb	PrimProd+Zooplankton	Niskin	bottle					
StudyID_16	SiteID_97	4	-2	No	North	Afrotropic	Africa	Ghana	Marine	Marine	Continental	shelf	Harvesting	Community	Fish	Trawling								
StudyID_16	SiteID_98	-18.5	38	No	South	Afrotropic	Africa	Mozambique	Marine	Marine	Continental	shelf	Harvesting	Community	Fish	Trawling								
StudyID_16	SiteID_99	-23.5	11.6	No	South	Afrotropic	Africa	Namibia	Marine	Marine	NA	Harvesting	Community	Fish	Trawling									
StudyID_16	SiteID_100	36	121.5	No	North	Palearctic	Asia	China	Marine	Marine	NA	Harvesting	Community	Fish	Trawling									
StudyID_16	SiteID_101	44	-57.03	No	North	Nearctic	Atlantic	Ocean	Eastern	Scotian	Shelf	Marine	Marine	Continental	shelf	Harvesting	Community	Fish	Trawling					
